OrgID,Legal title,Applied title,Website,Enabling instruments,Description raison d'étre,Ministerial portfolio,Institutional form,Population code,FAA institution schedule,FAA HR schedule,Appropriate Minister 1,Appropriate Minister 2,Appropriate Minister 3,Year of incorporation,Auditor 1,Auditor 2,Fiscal year end,Federal ownership or representation,Status,End date,Notes
153,First Nations Financial Management Board,N.A.,N.A.,"First Nations Fiscal and Statistical Management Act, S.C. 2005, c. 9","   To assist First Nations in developing the capacity to meet their financial management requirements and improve financial performance by developing and supporting the application of general credit-rating criteria to First Nations and by providing the following financial services: review and audit services, assessment and certification services, financial monitoring services, and co-management and third-party management services respecting local revenues. To assist First Nations in their dealings with other governments respecting financial management, including matters of accountability and shared fiscal responsibility; to assist First Nations in the development, implementation, and improvement of financial relationships with financial institutions, business partners, and other governments to enable the economic and social development of First Nations; and to provide advice and policy research and review and evaluative services on the development of fiscal arrangements between First Nations’ governments and other governments. To establish standards respecting the form and content of First Nations financial administration laws and the approval of such laws that comply with the standards, the certification of First Nations financial management systems, and financial reporting.   ",N.A.,Shared-Governance Corporations,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,2006,N.A.,N.A.,N.A.,N.A.,Dissolved,2013,N.A.
154,First Nations Statistical Institute,N.A.,N.A.,"First Nations Fiscal and Statistical Management Act,   S.C. 2005, c. 9","To provide statistical information on, and analysis of, the fiscal, economic, and social conditions of Indians and other members of First Nations, members of other Aboriginal groups, and other persons who reside on reserve lands or lands of other Aboriginal groups; to promote the quality, coherence, and compatibility of First Nations statistics and their production in accordance with generally accepted standards and practices through collaboration with First Nations, federal departments, provincial departments, agencies, and other organizations; to work with, and provide advice to, federal departments and agencies and provincial departments and agencies on First Nations statistics; to work in cooperation with Statistics Canada to ensure that the national statistical system meets the needs of First Nations in Canada; and to build statistical capacity within First Nations governments.",N.A.,Crown Corporations,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,2006,N.A.,N.A.,N.A.,N.A.,Dissolved,2013,N.A.
155,First Nations Tax Commission,N.A.,N.A.,"First Nations Fiscal and Statistical Management Act, S.C. 2005, c. 9","   To ensure the integrity of the system of First Nations real property taxation and to promote a common approach to First Nations real property taxation nationwide, bearing in mind the variations in provincial real property taxation systems. To ensure that the real property taxation systems of First Nations reconcile the interests of taxpayers with the responsibilities of chiefs and councils to govern the affairs of First Nations, to prevent or provide for the timely resolution of disputes in relation to the application of local revenue laws, to assist First Nations in the exercise of their jurisdiction over real property taxation on reserve lands and to build capacity in First Nations to administer their taxation systems, and to develop training programs for First Nations real property tax administrators. To assist First Nations to achieve sustainable economic development through the generation of stable local revenues, to promote a transparent First Nations real property taxation regime that provides certainty to taxpayers, to promote understanding of the real property taxation systems of First Nations, and to provide advice to the Minister regarding future development of the framework within which local revenue laws are made.   ",N.A.,Shared-Governance Corporations,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,2006,N.A.,N.A.,N.A.,N.A.,Dissolved,2013,N.A.
156,Fredericton International Airport Authority Inc.,N.A.,www.frederictonairport.ca,"Canada Not-for-profit Corporations Act (S.C. 2009, c. 23)","To manage, operate, and develop the airport.",Transport,Shared-Governance Corporations,N.A.,N.A.,N.A.,Minister of Transport,N.A.,N.A.,2001,Grant Thornton LLP,N.A.,31-Dec,2/11 board members,Active,N.A.,N.A.
157,Freshwater Fish Marketing Corporation,Freshwater Fish Marketing Corporation,www.freshwaterfish.com/,"Freshwater Fish Marketing Act, S.C. 1985, c. F-13","To purchase all fish lawfully fished and offered for sale, to create an orderly market, to promote international markets, to increase the fish trade, and to increase returns to fishers.","Fisheries, Oceans and the Canadian Coast Guard",Crown Corporations,FFM,III,N.A.,"Minister of Fisheries, Oceans and the Canadian Coast Guard",N.A.,N.A.,1969,Auditor General of Canada,N.A.,30-Apr,N.A.,Active,N.A.,N.A.
158,Gander International Airport Authority Inc.,N.A.,www.ganderairport.com,"Canada Not-for-profit Corporations Act (S.C. 2009, c. 23)","To manage, operate, and develop the airport.",Transport,Shared-Governance Corporations,N.A.,N.A.,N.A.,Minister of Transport,N.A.,N.A.,2001,Blair J. Jewer LLP,N.A.,31-Dec,2/13 board members,Active,N.A.,N.A.
162,Grain Appeal Tribunal,N.A.,N.A.,"Canada Grain Act, R.S.C.1985, c. G-10",The Tribunal's function is to examine appeals by those dissatisfied with the grade assigned by the Commission on an official sample.,N.A.,Departmental Agencies,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1930,N.A.,N.A.,N.A.,N.A.,Dissolved,2013,N.A.
163,Great Lakes Pilotage Authority,Great Lakes Pilotage Authority Canada,www.glpa-apgl.com,"Pilotage Act, R.S.C. 1985, c. P-14","To establish, maintain, and administer a safe and efficient pilotage service in all Canadian waters in Ontario and Manitoba, as well as in Quebec south of the northern entrance to the St. Lambert Lock.",Transport,Crown Corporations,PAG,III,N.A.,Minister of Transport,N.A.,N.A.,1972,Auditor General of Canada,N.A.,31-Dec,N.A.,Active,N.A.,N.A.
164,Greater London International Airport Authority,N.A.,www.flylondon.ca,"Canada Not-for-profit Corporations Act (S.C. 2009, c. 23)","To manage, operate, and develop the airport.",Transport,Shared-Governance Corporations,N.A.,N.A.,N.A.,Minister of Transport,N.A.,N.A.,1998,Ernst & Young LLP,N.A.,31-Dec,2/11 board members,Active,N.A.,N.A.
165,Greater Moncton International Airport Authority Inc.,N.A.,www.cyqm.ca,"Canada Not-for-profit Corporations Act (S.C. 2009, c. 23)","To manage, operate, and develop the airport.",Transport,Shared-Governance Corporations,N.A.,N.A.,N.A.,Minister of Transport,N.A.,N.A.,1997,Grant Thornton LLP,N.A.,31-Dec,2/14 board members,Active,N.A.,N.A.
166,Greater Toronto Airports Authority,N.A.,www.torontopearson.com,"Canada Not-for-profit Corporations Act (S.C. 2009, c. 23)","To manage, operate, and develop the airports.",Transport,Shared-Governance Corporations,N.A.,N.A.,N.A.,Minister of Transport,N.A.,N.A.,1993,PricewaterhouseCoopers LLP,N.A.,31-Dec,2/15 board members,Active,N.A.,N.A.
167,Halifax International Airport Authority,N.A.,www.hiaa.ca,"Canada Not-for-profit Corporations Act (S.C. 2009, c. 23)","To manage, operate, and develop the airport.",Transport,Shared-Governance Corporations,N.A.,N.A.,N.A.,Minister of Transport,N.A.,N.A.,2000,Grant Thornton LLP,N.A.,31-Dec,2/14 board members,Active,N.A.,N.A.
168,Halifax Port Authority,N.A.,www.portofhalifax.ca,"Canada Marine Act, S.C. 1998, c. 10",To manage the marine infrastructure and services in a commercial manner that encourages and takes into account input from users and from the community in which the port is located.,Transport,Shared-Governance Corporations,N.A.,N.A.,N.A.,Minister of Transport,N.A.,N.A.,1999,Grant Thornton LLP,N.A.,31-Dec,5/7 board members,Active,N.A.,N.A.
169,Hamilton Port Authority,N.A.,www.hamiltonport.ca,"Canada Marine Act, S.C. 1998, c. 10",To manage the marine infrastructure and services in a commercial manner that encourages and takes into account input from users and the community in which the port is located.,Transport,Shared-Governance Corporations,N.A.,N.A.,N.A.,Minister of Transport,N.A.,N.A.,2001,PricewaterhouseCoopers LLP,N.A.,31-Dec,5/7 board members,Active,N.A.,N.A.
170,Hazardous Materials Information Review Commission,N.A.,N.A.,"Hazardous Materials Information Review Act, R.S.C. 1985, c. 24, (3rd Supp.)","To register claims for trade-secret exemptions and issue registry numbers; to adjudicate and issue decisions on the validity of claims for exemption using prescribed regulatory criteria; to make decisions on the compliance of material safety data sheets and labels within the Workplace Hazardous Materials Information System requirements as set out in the Hazardous Products Act, the Canada Labour Code, Controlled Products Regulations and provincial and territorial occupational health and safety legislation; and to convene independent, tripartite boards to hear appeals from claimants or affected parties on decisions, undertakings, and orders issued by the Commission.",N.A.,Departmental Agencies,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1987,N.A.,N.A.,N.A.,N.A.,Dissolved,2012,N.A.
171,Health Council of Canada,N.A.,N.A.,"Canada Corporations Act, R.S.C. 1970, c. C-32","To monitor and publicly report on progress made in the implementation of the 2003 and 2004 First Ministers’ Accords on health care renewal, as well as on the health status and health outcomes of Canadians.",N.A.,Shared-Governance Corporations,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,2004,N.A.,N.A.,N.A.,N.A.,Dissolved,2013,N.A.
2,House of Commons,N.A.,www.parl.gc.ca,"Parliament of Canada Act, R.S.C., 1985, c. P-1","The House of Commons is where Members of Parliament – the men and women elected by Canadians to represent them in our national legislature – come together to make laws, hold government to account and decide the affairs of the country.",Parliament,Parliamentary Entities,HOC,N.A.,N.A.,N.A.,N.A.,N.A.,1867,N.A.,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
174,Immigration and Refugee Board,Immigration and Refugee Board of Canada,www.irb-cisr.gc.ca,"Immigration and Refugee Protection Act, S.C. 2001, c. 27","The Immigration and Refugee Board (IRB) is an independent, accountable  administrative tribunal established by Parliament on January 1, 1989 to  resolve immigration and refugee cases fairly, efficiently and in accordance with the law. The IRB ensures continued benefits to  Canadians: by only accepting refugee claimants needing protection in  accordance with international obligations and Canadian law; by  contributing to the integrity of the immigration system, the safety and  security of Canadians and upholding Canada’s reputation of justice and  fairness for individuals; and promoting family reunification. The IRB  also contributes to the quality of life of Canada’s communities by  strengthening our country’s social fabric and by reflecting and  reinforcing core values that are important to Canadians. These include  respect for human rights, peace, security and the rule of law.    The Minister of Immigration, Refugees and Citizenship is responsible for this organization.","Immigration, Refugees and Citizenship",Departmental Agencies,IRB,I.1,IV,"Minister of Immigration, Refugees and Citizenship",N.A.,N.A.,1989,N.A.,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
175,Indian Oil and Gas Canada,N.A.,www.pgic-iogc.gc.ca/eng/1100110010002,"Treasury Board Decision No. 802602, July 23, 1986; and Treasury Board Decision No 820397, July 20, 1993","To fulfill the Crown's fiduciary and statutory obligations related to the management of oil and gas resources on First Nation lands. To further First Nation initiatives to manage and control their oil and gas resources (i.e., governance).",Indigenous and Northern Affairs,Special Operating Agencies,IOG,N.A.,V,Minister of Indigenous and Northern Affairs,N.A.,N.A.,1987,N.A.,N.A.,31-Mar,3/9 board members,Active,N.A.,N.A.
177,Indian Residential Schools Truth and Reconciliation Commission,N.A.,N.A.,Order-in-Council P.C. 2008-0793,"To develop a comprehensive report of the Indian Residential Schools (IRS) legacy, to educate the public through national events, to promote community reconciliation through events, to encourage individual participation through statement taking, to have a closing ceremony, and to establish an archive or research centre as a resource on the IRS legacy; To identify sources and create as complete a historical record as possible of the IRS system and legacy; To support commemoration initiatives of former IRS students and their families; To acknowledge IRS experiences, effects, and consequences; To provide a holistic, culturally appropriate, and safe setting for events; To promote and facilitate truth and reconciliation events at both the national and community levels; and To promote awareness and public education for Canadians about the IRS system and its effects.",N.A.,Departmental Agencies,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,2008,N.A.,N.A.,N.A.,N.A.,Dissolved,2015,N.A.
179,Industrial Technologies Office,N.A.,www.ito.ic.gc.ca,"Department of Industry Act, S.C. 1995, c. 1 Treasury Board Decision No. 833402, February 28, 2007","The Industrial Technologies Office (ITO), a Special Operating Agency of Industry Canada, advances leading-edge research and development by Canadian industries. The agency manages two programs which continue to accept new applications including: the Technology Demonstration Program and the Strategic Aerospace and Defence Initiative. The agency also manages programs no longer accepting new applications: the Technology Partnerships Canada program, the Program for Strategic Industrial Projects, and the Hydrogen Early Adopters program.","Innovation, Science and Economic Development",Special Operating Agencies,N.A.,N.A.,N.A.,"Minister of Innovation, Science and Economic Development",N.A.,N.A.,2007,N.A.,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
180,Institut national du sport du Québec,N.A.,www.insquebec.org,"Companies Act, R.S.Q. c. C-38","To help high-performance athletes training for the Olympic Games, world championships, and other international competitions to reach their highest level of performance.",Canadian Heritage,Shared-Governance Corporations,N.A.,N.A.,N.A.,Minister of Canadian Heritage,N.A.,N.A.,1997,Gosselin et associés LLP,N.A.,31-Mar,0/11 board members,Active,N.A.,N.A.
181,Inter-American Development Bank,N.A.,www.iadb.org,"Articles of Agreement of the Inter-American Development Bank, 1959; implemented in Canada by the International Development (Financial Institutions) Assistance Act, R.S.C. 1985, c. I-18","The main mandate of the Inter-American Development Bank (IDB) is to foster the economic and social development of the IDB’s borrowing member countries, both individually and collectively. The IDB partners with countries to combat poverty and promote social equity through programs tailored to local conditions. Working with governments as well as with the private sector, the Bank seeks to achieve sustainable economic growth, increase competitiveness, modernize public institutions, and foster free trade and regional integration.",Global Affairs,International Organizations,N.A.,N.A.,N.A.,Minister of Foreign Affairs,N.A.,N.A.,1959,KPMG LLP,N.A.,31-Dec,4.0% ownership,Active,N.A.,N.A.
182,Internal Trade Secretariat Corporation,N.A.,www.ait-aci.ca,"Canada Not-for-profit Corporations Act, S.C., 2009, c. 23","To provide administrative and operational support to the Committee on Internal Trade, a body established under Article 1600 of the Agreement on Internal Trade.","Innovation, Science and Economic Development",Shared-Governance Corporations,N.A.,N.A.,N.A.,"Minister of Innovation, Science and Economic Development",N.A.,N.A.,2005,BDO Canada LLP,N.A.,31-Mar,1/13 board members,Active,N.A.,N.A.
183,International Bank for Reconstruction and Development,N.A.,www.worldbank.org,"Bretton Woods and Related Agreements Act, R.S.C. 1985, c. B-7","To assist in the reduction of poverty in middle-income and creditworthy poorer countries by promoting sustainable development through loans, guarantees, risk management products, and analytical and advisory services.",Finance,International Organizations,N.A.,N.A.,N.A.,Minister of Finance,N.A.,N.A.,1944,KPMG LLP,N.A.,30-Jun,2.67 per cent ownership,Active,N.A.,N.A.
184,International Centre for Human Rights and Democratic Development,N.A.,N.A.,"International Centre for Human Rights and Democratic Development Act R.S.C. 1985, (4th Supp.) c. 54","To promote, advocate, and defend the democratic and human rights set out in the International Bill of Human Rights. In cooperation with civil society and governments in Canada and abroad, the International Centre for Human Rights and Democratic Development (Rights & Democracy) initiates and supports programs to strengthen laws and democratic institutions, principally in developing countries.",N.A.,Shared-Governance Corporations,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1988,N.A.,N.A.,N.A.,N.A.,Dissolved,2012,N.A.
185,International Development Association,N.A.,www.worldbank.org,"Articles of Agreement of the International Development Association, 1960; implemented in Canada by the International Development Association Act, R.S.C. 1970, c. I-21","To reduce poverty by providing interest free loans and grants for programs that boost economic growth, reduce inequalities, and improve people’s living conditions.",Finance,International Organizations,N.A.,N.A.,N.A.,Minister of Finance,N.A.,N.A.,1960,KPMG LLP,N.A.,30-Jun,4.57 per cent ownership,Active,N.A.,N.A.
186,International Development Research Centre,N.A.,www.idrc.ca,"International Development Research Centre Act, R.S.C. 1985, c. I-19","The International Development Research Centre (IDRC) helps developing countries find solutions to problems crucial to their citizens and communities. To fulfill our mandate, IDRC invests in knowledge, innovation, and solutions, accelerating development research on its way to big impact. We do this by enabling leaders in government, research, and business in the developing world—strengthening societies and building important relationships for Canada.",Global Affairs,Crown Corporations,IDR,N.A.,N.A.,Minister of International Development and La Francophonie,N.A.,N.A.,1970,Auditor General of Canada,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
187,International Finance Corporation,N.A.,www.ifc.org,"Articles of Agreement of the International Finance Corporation, 1956; implemented in Canada by Appropriation Act No. 6","Help developing countries achieve sustainable growth by financing investment, mobilizing capital in international financial markets, and providing advisory services to businesses and governments.",Finance,International Organizations,N.A.,N.A.,N.A.,Minister of Finance,N.A.,N.A.,1956,KPMG LLP,N.A.,30-Jun,3.17 per cent ownership,Active,N.A.,N.A.
188,International Fisheries Commissions Pension Society,N.A.,N.A.,"Letters Patent pursuant to the Canada Corporations Act, 1957",To arrange for and administer the provision of pensions and insurance for employees of any international fisheries commission or organization whose seat or headquarters is established and maintained in Canada or the U.S.,"Fisheries, Oceans and the Canadian Coast Guard",Shared-Governance Corporations,N.A.,N.A.,N.A.,"Minister of Fisheries, Oceans and the Canadian Coast Guard",N.A.,N.A.,1957,"James MacPhee, Fellow Chartered Accountant",N.A.,31-Dec,8/14 board members are Canadian,Active,N.A.,N.A.
189,International Joint Commission (Canadian Section),N.A.,www.ijc.org,"International Boundary Waters Treaty Act, R.S.C. 1985, c. I-17",To prevent and resolve disputes between the United States and Canada under the 1909 Boundary Waters Treaty and to pursue the common good of both countries as an independent and objective advisor to the two governments.,Global Affairs,International Organizations,IJC,N.A.,IV,Minister of Foreign Affairs,N.A.,N.A.,1909,Auditor General of Canada,N.A.,31-Mar,3/6 board members,Active,N.A.,N.A.
190,International Lake Memphremagog Levels Board,N.A.,N.A.,The Board was created in 1920 pursuant to a Canada–US agreement,To provide a forum for dispute resolution regarding the regulation of the water levels of Lake Memphremagog in accordance with international obligations and federal and provincial legislation.,Environment and Climate Change,International Organizations,N.A.,N.A.,N.A.,Minister of Environment and Climate Change,N.A.,N.A.,1920,N.A.,N.A.,31-Mar,1/2 board members,Active,N.A.,N.A.
191,International Lake of the Woods Control Board,N.A.,www.lwcb.ca,"The Board was created pursuant to the Canada–US Treaty, Lake of the Woods Convention and Protocol, 1925; implemented in Canada by the Lake of the Woods Control Board Act, C.C.S.M. c. L-30",To approve the outflow from Lake of the Woods when the lake level is above or below certain specified elevations.,Environment and Climate Change,International Organizations,N.A.,N.A.,N.A.,Minister of Environment and Climate Change,N.A.,N.A.,1925,N.A.,N.A.,31-Mar,1/2 board members,Active,N.A.,N.A.
192,International Monetary Fund,N.A.,www.imf.org,"Articles of Agreement of the International Monetary Fund, 1945; implemented in Canada by the Bretton Woods and Related Agreements Act, R.S.C. 1985, c. B-7","To promote international monetary cooperation, exchange stability, and orderly exchange arrangements; to foster economic growth and high levels of employment; and to provide temporary financial assistance to countries to help ease the balance of payments adjustment.",Finance,International Organizations,N.A.,N.A.,N.A.,Minister of Finance,N.A.,N.A.,1945,PricewaterhouseCoopers (PwC),N.A.,30-Apr,2.33 per cent ownership,Active,N.A.,N.A.
193,Inuvialuit Arbitration Board,N.A.,N.A.,"Western Arctic (Inuvialuit) Claims Settlement Act, S.C. 1984, c. 24","The Arbitration Board was established under section 18 of the Inuvialuit Final Agreement to provide a mechanism to arbitrate disputes between the Inuvialuit and the governments of Canada, the Northwest Territories or Yukon, as well as between the Inuvialuit and industry.",N.A.,Departmental Agencies,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1984,N.A.,N.A.,N.A.,N.A.,Dissolved,2013,N.A.
233,Joint Public Advisory Committee (JPAC) of the Commission for Environmental Cooperation (CEC),N.A.,www.cec.org,The Committee was created pursuant to the North American Agreement on Environmental Cooperation,"To advise the Council of the North American Commission for Environmental Cooperation on matters within the scope of the North American Agreement on Environmental Cooperation, a supplemental agreement of the North American Free Trade Agreement.",Environment and Climate Change,International Organizations,N.A.,N.A.,N.A.,Minister of Environment and Climate Change,N.A.,N.A.,1994,Deloitte LLP,N.A.,31-Dec,5/15 board members,Active,N.A.,Formerly known as the North American Commission for Environmental Cooperation – Joint Public Advisory Committee.
195,Lake of the Woods Control Board,N.A.,www.lwcb.ca,"Lake of the Woods Control Board Act, S.C. 1921, c. 10 Lake of the Woods Convention and Protocol, 1925.","To regulate the water levels in the Lake of the Woods and Lac Seul and the flows in the Winnipeg and English Rivers downstream of these lakes to their junction, in accordance with international obligations and federal and provincial legislation.",Environment and Climate Change,Shared-Governance Corporations,N.A.,N.A.,N.A.,Minister of Environment and Climate Change,N.A.,N.A.,1919,N.A.,N.A.,31-Mar,1/4 board members,Active,N.A.,N.A.
196,Last Post Fund,N.A.,www.lastpostfund.ca,Order-in-Council P.C. 1922-1581,To ensure the provision of a dignified funeral and burial to eligible veterans.,Veterans Affairs,Shared-Governance Corporations,N.A.,N.A.,N.A.,Minister of Veterans Affairs,N.A.,N.A.,1921,Services Comptables Info-Gestion,N.A.,31-Mar,1/14 board members,Active,N.A.,"Disclaimer: the profile information for this organization has not yet been validated for 2017, as per the Policy on Results and the Financial Administration Act."
197,Laurentian Pilotage Authority,Laurentian Pilotage Authority Canada,www.pilotagestlaurent.gc.ca,"Pilotage Act, R.S.C. 1985, c. P-14","To operate, maintain, and administer a safe and efficient pilotage service in the St. Lawrence River between Les Escoumins and north of the northern entrance to the St. Lambert Lock, in the Saguenay River, except the waters of Chaleur Bay south of Cap d’Espoir.",Transport,Crown Corporations,PAL,III,N.A.,Minister of Transport,N.A.,N.A.,1972,Auditor General of Canada,N.A.,31-Dec,N.A.,Active,N.A.,N.A.
198,Law Commission of Canada,Law Commission of Canada,N.A.,"Law Commission of Canada Act, S.C. 1996, c. 9",N/A,Justice,Departmental Corporations,CLD,II,IV,Minister of Justice and Attorney General of Canada,N.A.,N.A.,1997,N.A.,N.A.,31-Mar,N.A.,Active,N.A.,"Non-operational on July 31, 2007."
199,Library and Archives of Canada,Library and Archives Canada,www.bac-lac.gc.ca,"Library and Archives of Canada Act, S.C. 2004, c. 11","The Minister of Canadian Heritage is responsible for Library and Archives of Canada.    The mandate of Library and Archives of Canada under the  Library and Archives of Canada Act  is to:    Preserve the documentary heritage of Canada for the benefit of present and future generations;   Serve as a source of enduring knowledge accessible to all, contributing  to the cultural, social, and economic advancement of Canada as a free and democratic society;   Facilitate cooperation among Canadian communities involved in the acquisition, preservation, and diffusion of knowledge; and   Serve as the continuing memory of the Government of Canada and its institutions.",Canadian Heritage,Departmental Agencies,BAL,I.1,IV,Minister of Canadian Heritage,N.A.,N.A.,2004,N.A.,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
200,Library of Parliament,N.A.,www.parl.gc.ca/About/Library/VirtualLibrary,"Parliament of Canada Act, R.S.C., 1985, c. P-1","The Library of Parliament offers information, reference and research services to parliamentarians and their staff, parliamentary committees, associations and delegations, and senior Senate and House of Commons officials.",Parliament,Parliamentary Entities,LIB,N.A.,N.A.,N.A.,N.A.,N.A.,1871,N.A.,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
201,Lower Churchill Development Corporation Limited,N.A.,N.A.,"Newfoundland Companies Act, 1978",The mandate is to establish a basis for the development of all or part of the hydroelectric potential of the Lower Churchill basin and the line transmission of this energy to markets.,Natural Resources,Joint Enterprises,N.A.,N.A.,N.A.,Minister of Natural Resources,N.A.,N.A.,1978,Deloitte & Touche LLP,N.A.,31-Dec,5 federal board positions (all vacant),Active,N.A.,"Non-operational on April 1, 2008"
202,Marine Atlantic Inc.,N.A.,www.marine-atlantic.ca,"Canada Business Corporations Act, R.S.C. 1985, c. C-44 Marine Atlantic Inc. Acquisition Authorization Act, S.C. 1986, c. 36","To provide a safe, environmentally responsible, and quality ferry service between the Island of Newfoundland and the Province of Nova Scotia in a reliable, courteous, and cost-effective manner.",Transport,Crown Corporations,MAI,III,N.A.,Minister of Transport,N.A.,N.A.,1977,Auditor General of Canada,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
203,Maritime Forestry Complex Corporation,N.A.,www.gnb.ca/4532/index-e.asp,"Maritime Forestry Complex Corporation Act, S.N.B. 1980, c. M-1.2","To develop, build, and operate a Maritime Provinces Regional Forestry Complex.",Natural Resources,Shared-Governance Corporations,N.A.,N.A.,N.A.,Minister of Natural Resources,N.A.,N.A.,1980,Bringloe Feeney LLP,N.A.,31-Mar,3/10 board members,Active,N.A.,N.A.
204,Measurement Canada,Measurement Canada,www.ic.gc.ca/eic/site/mc-mc.nsf/eng/home,"Weights and Measures Act, R.S.C. 1985, c. W-6 Electricity and Gas Inspection Act, R.S.C. 1985, c. E-4 Treasury Board Decision No. 827131, April 15, 1999","To ensure the integrity and accuracy of trade measurement in Canada through the administration and enforcement of the Weights and Measures Act and Regulations, and the Electricity and Gas Inspection Act and Regulations.","Innovation, Science and Economic Development",Special Operating Agencies,N.A.,N.A.,N.A.,"Minister of Innovation, Science and Economic Development",N.A.,N.A.,1996,N.A.,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
206,Mental Health Commission of Canada,N.A.,www.mentalhealthcommission.ca,"Canada Not-for-profit Corporations Act, S.C. 2009, c. 23","The Mental Health Commission of Canada (MHCC) is a catalyst for improving the mental health system and changing the attitudes and behaviours of Canadians around mental health issues. Through its unique mandate from Health Canada, the MHCC brings together leaders and organizations from across the country to accelerate these changes. The MHCC is funded by Health Canada and has a 10-year mandate (2007-2017). Among its initiatives, the MHCC’s work includes the country’s first mental health strategy, working to reduce stigma, advancing knowledge exchange in mental health, and examining how best to help people who are homeless and living with mental health problems.",Health,Shared-Governance Corporations,N.A.,N.A.,N.A.,Minister of Health,N.A.,N.A.,2007,Ernst and Young,N.A.,31-Mar,2/19 board members,Active,N.A.,N.A.
207,Merchant Seamen Compensation Board,N.A.,N.A.,"Merchant Seamen Compensation Act, R.S.C. 1985, c. M-6",To provide compensation benefits for work-related injuries to seamen engaged on a foreign voyage or home&#8209;trade voyage who are not eligible for workers’ compensation coverage under other federal or provincial legislation. The Merchant Seamen Compensation Board hears and decides claims under the Merchant Seamen Compensation Act.,N.A.,Departmental Agencies,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1946,N.A.,N.A.,N.A.,N.A.,Dissolved,2013,N.A.
208,Milit-Air Inc.,N.A.,N.A.,"Canada Not-for-profit Corporations Act, R.S.C. 2009, c. 23","To engage in activities that support the training of Canadian and foreign military pilots in Canada in a safe, secure, efficient, and cost-effective manner as prescribed by the NATO Flying Training in Canada program.",Public Services and Procurement,Shared-Governance Corporations,N.A.,N.A.,N.A.,Minister of Public Services and Procurement,N.A.,N.A.,1998,KPMG LLP,N.A.,31-Dec,1/5 board members,Active,N.A.,N.A.
209,Military Grievances External Review Committee,Military Grievances External Review Committee,www.canada.ca/en/military-grievances-external-review.html,"National Defence Act, R.S.C. 1985, c. N-5","The raison d’être of the Military Grievances External Review Committee  (the Committee or MGERC) is to provide an independent and external review of military grievances. Section 29 of the  National Defence Act   provides a statutory right for an officer or a non-commissioned  member who has been aggrieved, to grieve a decision, an act or an  omission in the administration of the affairs of the Canadian Armed  Forces. The importance of this broad right cannot be overstated since it  is, with certain narrow exceptions, the only formal complaint process  available to Canadian Armed Forces members. The Minister of National Defence is responsible for this organization.",National Defence,Departmental Agencies,FCG,I.1,IV,Minister of National Defence,N.A.,N.A.,2000,N.A.,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
210,Military Police Complaints Commission,Military Police Complaints Commission of Canada,www.mpcc-cppm.gc.ca,"National Defence Act, R.S.C. 1985, c. N-5","On behalf of all Canadians, the Military Police Complaints Commission of  Canada (MPCC) exists to provide greater public accountability by the  Military Police and the chain of command in relation to Military Police  activities. The MPCC derives its mandate from Part IV of Canada's  National Defence Act  (NDA).    While it reports to Parliament through the Minister of National Defence, the MPCC is both administratively and legally independent from the  Department of National Defence and the Canadian Armed Forces.",National Defence,Departmental Agencies,CPM,I.1,IV,Minister of National Defence,N.A.,N.A.,1998,N.A.,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
212,Montréal Port Authority,N.A.,www.port-montreal.com,"Canada Marine Act, S.C. 1998, c. 10",To manage the marine infrastructure and services in a commercial manner that encourages and takes into account input from users and the community in which the port is located.,Transport,Shared-Governance Corporations,N.A.,N.A.,N.A.,Minister of Transport,N.A.,N.A.,1999,Deloitte LLP,N.A.,31-Dec,5/7 board members,Active,N.A.,N.A.
213,Multilateral Investment Guarantee Agency,N.A.,www.miga.org,"Bretton Woods and Related Agreements Act, R.S.C. 1985, c. B-7","Promote foreign direct investment into developing countries to support economic growth, reduce poverty, and improve people's lives. MIGA fulfills this mandate by offering political risk insurance (guarantees) to investors and lenders.",Finance,International Organizations,N.A.,N.A.,N.A.,Minister of Finance,N.A.,N.A.,1988,KPMG LLP,N.A.,30-Jun,2.95 per cent ownership,Active,N.A.,N.A.
